ID;VALIDE;DATE;HEURE;LAT.;LONG.;PRECISION LIEU;TERRE/MER/AIR;ESPECE;PRECISION ESPECE;DAUPHIN SOLITAIRE;NOM DU DAUPHIN SOLITAIRE;NOMBRE;NOMBRE MINIMUM;NOMBRE MAXIMUM;SOURCE;ORGANISMES;RESEAUX
3513;oui;10/08/2007;08:26:00;48.683333;-5.133333;1;2;Marsouin commun;A;non;;5;0;0;Base de donnees;Naturaliste;GECC
3514;oui;10/08/2007;06:40:00;48.25;-5.212;1;2;Marsouin commun;A;non;;6;1;2;Base de donnees;Naturaliste;GECC
3515;oui;10/08/2007;09:07:00;48.516667;-5.4;1;2;Marsouin commun;A;non;;7;0;0;Base de donnees;Naturaliste;GECC
3522;oui;10/08/2007;08:48:00;48.716667;-5.283333;1;2;Grand dauphin;A;non;;20;0;0;Base de donnees;Naturaliste;GECC
3523;oui;10/08/2007;10:31:00;48.083333;-5.633333;1;2;Grand dauphin;A;non;;25;0;0;Base de donnees;Naturaliste;GECC
3567;oui;16/08/2007;15:55:00;47.966667;-5.383333;1;2;Dauphin commun;A;non;;10;0;0;Base de donnees;Naturaliste;GECC
3861;oui;14/09/2008;12:34:00;48.05;-5.4;1;2;Marsouin commun;A;non;;10;0;0;Base de donnees;Naturaliste;GECC
3862;oui;14/09/2008;12:49:00;47.966667;-5.4;1;2;Marsouin commun;A;non;;10;0;0;Base de donnees;Naturaliste;GECC
3865;oui;14/09/2008;12:45:00;47.983333;-5.4;1;2;Marsouin commun;A;non;;50;0;0;Base de donnees;Naturaliste;GECC
3869;oui;14/09/2008;12:57:00;47.933333;-5.4;1;2;Grand dauphin;A;non;;30;0;0;Base de donnees;Naturaliste;GECC
3907;oui;11/02/2009;17:00:00;48.0493;-4.8598;3;3;Phoque gris;A;non;;6;0;0;Base de donnees;Inconnu;GECC
3925;oui;24/02/2009;16:00:00;48.095;-4.556;3;3;Marsouin commun;A;non;;3;0;0;Base de donnees;Inconnu;GECC
4106;oui;11/08/2009;14:02:00;47.933333;-5.151;1;2;Dauphin commun;A;non;;15;1;2;Base de donnees;Naturaliste;GECC
4119;oui;13/08/2009;11:28:00;48.7;-5.1;1;2;Petit rorqual;A;non;;1;0;0;Base de donnees;Naturaliste;GECC
4133;oui;13/08/2009;13:44:00;48.016667;-5.333333;1;2;Marsouin commun;A;non;;3;0;0;Base de donnees;Naturaliste;GECC
4136;oui;13/08/2009;13:45:00;48.016667;-5.333333;1;2;Grand dauphin;A;non;;10;0;0;Base de donnees;Naturaliste;GECC
4145;oui;19/08/2009;00:00:00;48.4817;-5.1039;3;3;Dauphin commun;B;non;;1;0;0;Base de donnees;Naturaliste;PM M.Iroise
4193;oui;21/09/2009;10:52:00;48;-5.366667;1;2;Petit rorqual;A;non;;1;0;0;Base de donnees;Naturaliste;GECC
